,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Texas Southern,894,894,894,800,833,848,866,878,860,899,900,970,964,959,954,894,894
TX Southern,894,894,894,800,833,848,866,878,860,899,900,970,964,959,954,894,894
Coppin St.,899,899,899,904,920,905,912,887,834,862,859,891,925,935,949,899,899
New Mexico St,899,899,899,756,824,835,848,900,906,926,942,961,966,957,966,899,899
New Mexico St.,899,899,899,756,824,835,848,900,906,926,942,961,966,957,966,899,899
Texas San Antonio,901,901,901,840,818,843,843,885,927,927,945,949,946,942,943,901,901
Alcorn St.,901,901,901,948,955,948,934,940,941,906,883,893,839,777,847,901,901
Florida A&M,902,902,902,856,893,905,908,915,892,904,888,900,905,917,935,902,902
Jacksonville St,902,902,902,859,882,862,830,859,865,889,947,956,952,974,948,902,902
Morgan St.,905,905,905,969,927,929,888,865,890,899,920,936,922,871,847,905,905
Norfolk St.,907,907,907,917,905,888,885,904,894,926,879,885,933,934,930,907,907
Cal St. Northridge,908,908,908,885,872,860,868,870,871,918,923,956,983,951,943,908,908
Cal St. Bakersfield,912,912,912,912,912,818,889,913,892,910,900,913,946,961,973,912,912
South Alabama,912,912,912,858,869,877,916,888,898,916,917,940,946,952,963,912,912
Southeastern Louisiana,912,912,912,923,893,866,866,868,904,936,926,937,932,946,945,912,912
Tennessee,913,913,913,878,855,907,909,906,907,902,905,924,944,949,964,913,913
Morehead St.,913,913,913,888,882,877,888,906,928,962,938,932,944,884,926,913,913
Wyoming,915,915,915,880,881,864,884,892,905,938,940,941,951,946,955,915,915
Louisiana Lafayette,916,916,916,840,788,839,886,917,984,970,951,947,952,956,961,916,916
Texas A&M Corpus Chris,917,917,917,895,935,906,892,903,900,887,911,910,909,970,981,917,917
Delaware St.,917,917,917,904,901,911,903,880,897,894,930,940,937,959,945,917,917
Arkansas,917,917,917,892,904,893,906,882,895,921,922,968,951,937,934,917,917
Houston,917,917,917,898,898,901,900,885,907,910,908,946,946,944,964,917,917
Arkansas Pine Bluff,917,917,917,935,920,928,907,906,899,885,881,904,949,951,943,917,917
Mississippi Valley St.,917,917,917,974,944,944,930,895,884,865,802,866,946,979,980,917,917
McNeese St.,917,917,917,827,847,859,889,925,948,959,933,943,962,952,965,917,917
North Carolina A&T,918,918,918,921,908,914,922,924,938,934,904,911,922,900,915,918,918
Alabama Birmingham,919,919,919,933,903,858,863,825,860,927,933,983,979,980,985,919,919
UAB,919,919,919,933,903,858,863,825,860,927,933,983,979,980,985,919,919
NC Central,919,919,919,919,919,919,919,881,868,893,903,933,955,969,952,919,919
Jackson St.,920,920,920,922,901,912,912,881,906,906,898,951,950,955,949,920,920
Alabama A&M,922,922,922,922,929,928,934,926,920,911,902,917,945,964,869,922,922
UC Santa Barbara,923,923,923,927,908,890,872,902,917,939,945,940,947,949,935,923,923
Auburn,923,923,923,862,877,905,899,916,934,925,940,940,946,956,978,923,923
USC,924,924,924,842,882,863,906,924,912,960,957,952,959,959,969,924,924
Southern California,924,924,924,842,882,863,906,924,912,960,957,952,959,959,969,924,924
Iowa St,924,924,924,891,852,869,877,907,936,943,949,948,969,979,969,924,924
Lamar,925,925,925,949,897,892,906,901,934,940,923,915,926,950,966,925,925
Texas El Paso,925,925,925,877,911,900,924,921,904,915,914,946,956,968,963,925,925
LSU,926,926,926,860,903,910,942,918,905,911,909,955,957,973,974,926,926
Louisiana St.,926,926,926,860,903,910,942,918,905,911,909,955,957,973,974,926,926
Hampton,927,927,927,827,840,870,919,948,979,965,948,948,951,962,969,927,927
Hampton,927,927,927,827,840,870,919,948,979,965,948,948,951,962,969,927,927
Colorado St.,927,927,927,939,892,865,859,859,914,953,955,971,970,975,976,927,927
Illinois Chicago,928,928,928,912,921,922,924,931,918,921,907,926,939,945,966,928,928
Cincinnati,928,928,928,872,838,832,902,945,992,956,955,958,942,969,974,928,928
Eastern Washington,929,929,929,884,901,898,901,904,904,928,939,958,972,977,983,929,929
CS Fullerton,930,930,930,874,909,916,963,949,909,926,929,915,968,962,937,930,930
Central Connecticut,930,930,930,900,910,891,927,920,938,961,956,956,934,935,931,930,930
Chattanooga,930,930,930,898,914,921,923,939,932,925,927,943,944,949,949,930,930
South Florida,931,931,931,893,898,904,878,915,937,948,953,959,960,964,959,931,931
Georgia St,931,931,931,907,894,889,910,920,946,971,955,950,937,938,953,931,931
Weber St.,932,932,932,900,821,855,897,907,961,975,975,980,980,970,959,932,932
Fairleigh Dickinson,933,933,933,944,923,929,919,923,940,932,943,908,933,943,954,933,933
Pepperdine,934,934,934,931,948,926,892,897,901,927,964,959,949,950,958,934,934
Colorado,934,934,934,885,872,873,900,897,926,962,984,985,975,970,975,934,934
IUPUI,934,934,934,954,927,900,883,876,895,940,958,968,966,971,970,934,934
Florida Atlantic,934,934,934,929,910,927,938,933,950,941,919,937,933,937,955,934,934
Montana,934,934,934,940,890,899,900,938,967,977,957,933,935,937,937,934,934
Kansas St,934,934,934,870,884,880,900,924,937,960,964,974,980,975,965,934,934
Kansas St.,934,934,934,870,884,880,900,924,937,960,964,974,980,975,965,934,934
Connecticut,935,935,935,889,934,946,939,930,893,889,897,936,983,978,1000,935,935
Wisconsin Milwaukee,935,935,935,939,916,923,923,935,926,941,941,908,940,962,961,935,935
Milwaukee,935,935,935,939,916,923,923,935,926,941,941,908,940,962,961,935,935
Nevada Las Vegas,935,935,935,841,886,906,920,947,961,961,965,965,948,958,962,935,935
Liberty,935,935,935,894,910,892,883,918,933,969,980,980,971,951,939,935,935
UNLV,935,935,935,841,886,906,920,947,961,961,965,965,948,958,962,935,935
Mississippi St.,935,935,935,913,908,901,913,932,948,965,935,945,938,953,974,935,935
Central Michigan,937,937,937,898,934,925,930,926,923,940,939,949,955,945,975,937,937
North Florida,937,937,937,937,937,879,898,899,911,951,955,959,959,975,981,937,937
Washington St.,937,937,937,875,892,905,946,957,971,961,957,938,938,949,953,937,937
Central Florida,937,937,937,932,916,931,928,931,929,930,920,943,958,956,972,937,937
St Bonaventure,938,938,938,906,921,897,904,906,894,929,972,978,1000,985,958,938,938
Robert Morris,939,939,939,930,903,925,918,945,966,960,954,938,935,951,940,939,939
Hawaii,939,939,939,922,913,889,922,939,957,990,951,949,954,944,937,939,939
Utah St.,939,939,939,882,902,913,922,946,950,964,968,963,952,947,958,939,939
San Diego St,940,940,940,940,927,929,916,921,938,935,935,939,945,970,980,940,940
Kent St.,940,940,940,856,890,915,929,954,953,944,949,965,970,976,976,940,940
Kent,940,940,940,856,890,915,929,954,953,944,949,965,970,976,976,940,940
Radford,940,940,940,927,936,927,934,933,925,929,915,944,959,969,980,940,940
Tulsa,940,940,940,882,911,921,926,952,961,965,949,966,961,941,947,940,940
Texas Arlington,940,940,940,912,916,929,944,945,954,945,930,934,946,961,966,940,940
South Carolina St.,941,941,941,936,920,894,905,908,916,970,954,965,975,965,980,941,941
Nevada,941,941,941,917,935,937,940,938,919,934,944,941,966,957,961,941,941
Troy St.,941,941,941,920,913,916,927,941,953,952,937,937,949,970,975,941,941
Troy,941,941,941,920,913,916,927,941,953,952,937,937,949,970,975,941,941
Murray St,941,941,941,918,926,935,919,928,932,927,961,961,960,969,958,941,941
UC Irvine,941,941,941,927,944,943,931,925,929,939,960,958,947,951,941,941,941
Texas A&M,942,942,942,942,891,912,953,986,952,933,912,912,944,974,989,942,942
Minnesota,942,942,942,885,887,910,930,960,964,954,955,960,985,960,950,942,942
Binghamton,943,943,943,961,961,960,956,946,893,900,902,913,973,965,980,943,943
Northern Colorado,943,943,943,943,943,900,921,926,952,961,956,956,961,955,940,943,943
Ohio St,943,943,943,911,902,909,911,929,952,962,972,977,975,967,950,943,943
Delaware,943,943,943,971,967,934,918,921,922,954,959,952,930,941,948,943,943
Providence,943,943,943,936,938,938,939,935,925,925,915,947,957,979,984,943,943
Middle Tennessee,943,943,943,857,885,906,906,954,964,961,977,981,971,976,980,943,943
Saint Joseph's,943,943,943,929,920,921,944,939,949,949,953,943,948,965,958,943,943
St. Joseph's,943,943,943,929,920,921,944,939,949,949,953,943,948,965,958,943,943
St. John's,943,943,943,884,909,918,959,961,968,959,941,942,953,952,974,943,943
